Time, Distance (km), Duration (hours), Elevation gain (m)
1546436607000,11.91,1.09,241
1546508311000,10.63,1.13,335
1546607406000,10.51,1.11,250
1546858825000,11.20,1.03,248
1546941882000,11.30,1.26,258
1547114965000,10.64,1.19,170
1547199870000,12.87,1.25,205
1547543202000,10.25,1.06,250
1547719775000,13.85,1.31,191
1547820721000,8.71,0.88,230
1548079897000,9.60,1.01,261
1548147995000,14.37,1.32,159
1548320849000,13.30,1.27,253
1548670867000,10.37,1.02,252
1548752725000,11.43,1.16,195
1548925778000,12.62,1.35,236
1549357566000,12.94,1.18,226
1549530255000,12.08,1.20,357
1549615592000,12.46,1.26,254
1549890036000,8.63,0.77,217
1549895718000,0.73,0.06,6
1549962354000,12.51,1.28,204
1550135289000,14.16,1.19,177
1550494782000,6.16,0.81,272
1550570666000,11.06,1.27,249
1550754265000,9.24,0.86,125
1550815159000,8.62,0.85,263
1551099961000,6.10,0.87,341
1551171875000,13.64,1.30,200
1551344537000,11.71,1.37,98
1551431628000,13.26,1.38,351
1551692411000,14.87,1.50,366
1551776731000,15.23,1.51,280
1551949764000,12.61,1.25,174
1551966986000,0.63,0.04,11
1553759997000,10.69,1.53,110
1554451832000,11.93,1.11,302
1555316488000,15.12,1.41,424
1555401774000,12.95,1.20,196
1555574891000,11.72,1.08,254
1556093459000,10.54,1.08,322
1556266617000,11.03,1.03,223
1556283339000,0.63,0.04,36
1556506192000,3.62,0.61,141
1556549482000,6.49,0.60,63
1556611636000,10.59,1.32,263
1556777300000,12.14,1.40,216
1557025297000,26.59,2.19,531
1557033423000,1.30,0.32,53
1557731525000,10.62,0.94,204
1558426222000,16.75,1.55,218
1558515379000,12.79,1.09,255
1558591455000,9.50,1.20,106
1558939647000,0.71,0.13,236
1559117216000,9.60,1.04,97
1559563681000,10.14,0.77,58
1559635540000,13.61,1.52,140
1559808251000,11.67,1.19,258
1559891737000,16.08,2.66,259
1560232972000,10.75,1.35,161
1560845152000,11.49,1.12,199
1562227516000,11.74,1.21,187
1562314938000,10.29,1.12,133
1562587735000,9.14,0.78,82
1562659655000,12.03,1.07,269
1562832473000,10.65,1.20,152
1562901798000,7.46,0.77,263
1563185471000,9.53,0.79,72
1563264458000,13.46,1.35,409
